trader_id,age_group,experience_level,starting_capital,ending_balance,monthly_return_pct,max_drawdown_pct,position_size_pct,win_ratio,risk_reward_ratio,trades_per_week,avg_holding_period_days,overnight_positions_pct,platform_usage_hours,preferred_trading_type,preferred_instruments,trade_decision_factor,stop_loss_usage_pct,is_profitable,risk_score
TR00001,36-45,Intermediate,212049,211384,-0.33,1.99,5.11,0.47,0.84,11,4.89,28.07,4.32,Intraday,F&O,Technical Analysis,66.68,0,1
TR00002,18-25,Beginner,59115,39272,-34.28,33.39,49.0,0.2,1.18,29,0.86,55.88,5.85,Intraday,Commodities,Technical Analysis,33.29,0,5
TR00003,26-35,Beginner,98223,82133,-15.79,23.46,29.63,0.26,1.04,24,25.07,43.44,7.34,Swing,Currency,Technical Analysis,13.92,0,4
TR00004,26-35,Intermediate,241962,253262,4.39,8.96,19.46,0.48,1.98,15,8.1,38.85,3.52,Mixed,Currency,Technical Analysis,52.62,1,2
TR00005,36-45,Beginner,76387,62307,-18.74,30.4,42.83,0.23,0.83,17,25.42,54.09,4.86,Intraday,F&O,Technical Analysis,23.27,0,5
TR00006,36-45,Intermediate,199143,205353,3.24,8.05,19.37,0.49,1.44,17,9.53,30.85,4.47,Swing,F&O,Technical Analysis,61.89,1,2
TR00007,46-55,Beginner,69275,61777,-9.95,23.98,31.4,0.35,0.62,16,0.25,77.46,6.17,Intraday,Mixed,Technical Analysis,31.73,0,4
TR00008,18-25,Beginner,82369,73072,-10.9,22.82,29.06,0.4,0.67,28,19.47,61.61,5.35,Swing,F&O,Tips/Recommendations,30.71,0,4
TR00009,26-35,Beginner,21938,18169,-18.6,41.49,43.54,0.24,1.09,20,11.49,36.5,5.22,Mixed,F&O,Fundamental Analysis,20.22,0,5
TR00010,18-25,Beginner,45195,42709,-6.02,13.38,18.2,0.37,0.75,20,0.87,58.0,5.47,Positional,Mixed,Mixed,34.15,0,3
TR00011,26-35,Beginner,14000,12612,-9.95,44.83,48.72,0.3,1.08,13,0.71,69.04,7.31,Intraday,F&O,Tips/Recommendations,11.57,0,6
TR00012,36-45,Beginner,80588,74212,-8.38,30.65,38.44,0.27,1.0,17,21.89,65.42,5.31,Mixed,F&O,Fundamental Analysis,14.79,0,5
TR00013,18-25,Intermediate,413186,409775,-0.87,5.18,8.99,0.37,1.01,12,4.45,25.16,5.76,Swing,F&O,Tips/Recommendations,43.42,0,2
TR00014,26-35,Beginner,48304,44149,-8.0,28.25,39.45,0.35,0.86,12,0.16,78.62,5.52,Intraday,F&O,Fundamental Analysis,12.3,0,5
TR00015,36-45,Intermediate,381593,382306,0.2,10.38,15.6,0.4,1.61,10,4.35,33.46,5.8,Swing,Mixed,Technical Analysis,39.4,1,3
TR00016,36-45,Intermediate,132986,131716,-0.92,6.89,19.14,0.42,1.08,9,8.37,24.77,5.33,Swing,F&O,Technical Analysis,63.21,0,2
TR00017,26-35,Beginner,99643,90874,-9.22,20.25,40.71,0.21,1.08,11,0.33,39.01,4.81,Mixed,Commodities,Fundamental Analysis,38.45,0,4
TR00018,36-45,Beginner,30764,29567,-3.7,9.0,13.49,0.36,0.88,21,0.24,34.91,7.32,Swing,Equity,Tips/Recommendations,19.14,0,3
TR00019,46-55,Beginner,96027,90241,-5.77,23.7,30.24,0.35,0.62,15,0.95,70.18,3.55,Positional,F&O,Fundamental Analysis,17.94,0,4
TR00020,18-25,Beginner,48494,46005,-5.69,39.87,47.28,0.35,0.91,11,20.54,36.1,7.63,Positional,Mixed,Mixed,18.4,0,6
TR00021,46-55,Advanced,1514093,1578532,4.25,1.84,6.17,0.51,3.0,13,12.91,13.75,2.89,Mixed,Equity,Fundamental Analysis,69.72,1,1
TR00022,36-45,Beginner,22161,20026,-10.38,31.45,33.76,0.23,0.61,10,0.37,72.52,3.27,Intraday,Equity,Fundamental Analysis,11.08,0,5
TR00023,26-35,Intermediate,147532,152018,2.83,4.05,12.38,0.48,1.78,16,7.96,30.34,4.58,Swing,Mixed,Tips/Recommendations,67.08,1,2
TR00024,26-35,Intermediate,404802,402137,-0.61,9.22,14.09,0.45,1.05,14,3.07,20.93,5.9,Intraday,Mixed,Tips/Recommendations,38.55,0,3
TR00025,56+,Intermediate,435777,437480,0.4,7.54,15.97,0.39,1.74,10,2.18,21.56,2.28,Positional,Currency,News Events,46.8,1,2
TR00026,26-35,Intermediate,150386,155689,3.57,9.4,15.98,0.49,1.68,17,8.81,24.27,4.22,Mixed,Currency,Technical Analysis,30.39,1,3
TR00027,18-25,Advanced,751638,768131,2.28,0.48,4.62,0.65,1.95,13,14.56,16.4,3.24,Swing,F&O,Tips/Recommendations,90.03,1,0
TR00028,18-25,Beginner,35351,31173,-11.33,25.29,37.38,0.35,0.73,26,0.13,63.26,7.05,Swing,F&O,Tips/Recommendations,31.93,0,4
TR00029,46-55,Beginner,98668,95638,-3.16,6.75,13.51,0.35,1.05,19,0.92,37.87,5.07,Intraday,F&O,Fundamental Analysis,38.4,0,3
TR00030,36-45,Beginner,25305,24046,-5.22,9.86,15.55,0.39,0.82,25,0.97,35.94,4.02,Mixed,F&O,Technical Analysis,33.45,0,3
TR00031,46-55,Beginner,85353,79887,-6.49,6.86,10.11,0.24,1.01,24,0.5,68.24,3.21,Intraday,Mixed,Fundamental Analysis,19.41,0,3
TR00032,36-45,Intermediate,257869,257125,-0.31,4.46,7.33,0.46,0.98,18,3.89,40.13,4.32,Positional,Currency,Technical Analysis,39.91,0,2
TR00033,36-45,Intermediate,115953,123757,6.41,5.83,14.46,0.55,1.82,18,7.52,33.06,3.81,Swing,Equity,Tips/Recommendations,57.91,1,2
